time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2014-04-15,420.66,520.12,414.95,520.12,49561000.0,-0.08371503065323094,-0.416814298208239
2014-04-19,529.16,529.16,478.23,501.55,19588200.0,0.09652383034543077,-0.3868057168706368
2014-04-23,497.32,497.32,484.85,487.53,8412033.043193607,0.09047597745369962,-0.4006122599522979
2014-04-27,494.27,494.27,437.92,437.92,9760121.834963577,-0.04340418095633369,-0.39289081129041203
2014-04-30,436.92,445.0,436.92,445.0,13054745.683608102,0.059372470599438065,-0.3622448979591837
2014-05-03,455.09,455.09,434.03,434.03,9446958.635517636,-0.16551949550103828,-0.3261450085390468
2014-05-07,433.94,439.3,426.76,439.3,16360711.036365218,-0.12411524274748276,-0.2925812009855231
2014-05-11,437.36,452.51,436.28,436.28,11522907.034093864,-0.10512173609829134,-0.29967735203942414
2014-05-15,439.19,444.25,437.31,444.25,6219944.38500291,0.014454694921446798,-0.24225625980760046
2014-05-19,445.17,445.85,443.87,443.87,11697296.019628461,-0.0025393258426966714,-0.24227112105020565
2014-05-23,483.42,524.48,483.42,524.48,30253343.70043255,0.20839573301384706,-0.15080470192027462
2014-05-27,523.11,579.62,523.11,569.48,33059214.23635299,0.2963350785340315,-0.08770805632539291
2014-05-31,571.55,621.15,565.26,620.5,18656368.10083591,0.42225176492161,-0.027536163743789976
2014-06-03,640.16,667.37,640.16,667.37,37419432.11298669,0.5022397298818233,0.09290252849469405
2014-06-07,641.18,658.1,641.18,651.71,12954147.496912882,0.46824520692995697,0.1478213392511185
2014-06-11,649.9,649.9,630.04,630.04,20706208.81438605,0.20126601586333126,0.10992882813050531
2014-06-15,567.18,594.68,567.18,583.41,19377536.876052536,0.02446091170892739,0.275491910800175
2014-06-19,592.52,607.16,592.52,593.39,11266428.30113169,-0.04369057211925864,0.32725686677999466
2014-06-23,590.06,595.04,586.15,586.15,11249420.61918756,-0.12170160480692871,0.28039057209637597
2014-06-27,582.41,598.24,561.47,598.24,19906418.825948466,-0.08204569517116511,0.4241774984526021
2014-06-30,594.87,637.75,594.87,637.75,47015974.05882847,0.012237318265507113,0.22615934784280545
2014-07-03,643.94,648.11,640.28,640.28,18539083.74715486,0.09747861709603889,0.2766025321503338
