Date,Open,High,Low,Close,Volume,Ret_5d,Ret_20d,ma
2014-03-15,638.07,639.03,629.67,638.07,5963930.0,0.0242387273865516,-0.1310144769635146,737.0364999999999
2014-03-19,629.55,629.55,610.64,610.64,15227500.0,0.0415501125741966,-0.191376661899465,729.8105
2014-03-23,592.07,592.07,561.22,567.78,10283000.0,-0.0307448061592038,-0.3121736707572656,716.926
2014-03-27,571.42,584.44,567.64,567.64,22316700.0,-0.0809235452219812,-0.313200241984271,703.983
2014-03-31,503.66,503.66,457.4,457.4,56838500.0,-0.2672572609454848,-0.4949874133286226,681.567
2014-04-03,478.72,478.72,437.52,447.08,40765500.0,-0.2993245255222782,-0.4804053739947004,660.8990000000001
2014-04-07,448.88,464.83,448.88,457.79,9802770.0,-0.2503111489584697,-0.453822017013255,641.88
2014-04-11,450.46,450.46,360.84,420.06,62562800.0,-0.2601711930677375,-0.504043826817951,620.5345
2014-04-15,420.66,520.12,414.95,520.12,49561000.0,-0.0837150306532309,-0.416814298208239,601.9475
2014-04-19,529.16,529.16,478.23,501.55,19588200.0,0.0965238303454307,-0.3868057168706368,586.1285
2014-04-23,497.32,497.32,484.85,487.53,8412033.043193607,0.0904759774536996,-0.4006122599522979,569.836
2014-04-27,494.27,494.27,437.92,437.92,9760121.834963577,-0.0434041809563336,-0.392890811290412,555.6659999999999
2014-04-30,436.92,445.0,436.92,445.0,13054745.683608102,0.059372470599438,-0.3622448979591837,543.028
2014-05-03,455.09,455.09,434.03,434.03,9446958.635517636,-0.1655194955010382,-0.3261450085390468,532.5245
2014-05-07,433.94,439.3,426.76,439.3,16360711.036365218,-0.1241152427474827,-0.2925812009855231,523.4399999999999
2014-05-11,437.36,452.51,436.28,436.28,11522907.034093864,-0.1051217360982913,-0.2996773520394241,514.1055
2014-05-15,439.19,444.25,437.31,444.25,6219944.38500291,0.0144546949214467,-0.2422562598076004,507.004
2014-05-19,445.17,445.85,443.87,443.87,11697296.01962846,-0.0025393258426966,-0.2422711210502056,499.908
2014-05-23,483.42,524.48,483.42,524.48,30253343.70043255,0.208395733013847,-0.1508047019202746,495.25100000000003
2014-05-27,523.11,579.62,523.11,569.48,33059214.23635299,0.2963350785340315,-0.0877080563253929,492.5135
2014-05-31,571.55,621.15,565.26,620.5,18656368.10083591,0.42225176492161,-0.0275361637437899,491.63500000000005
2014-06-03,640.16,667.37,640.16,667.37,37419432.11298669,0.5022397298818233,0.092902528494694,494.47149999999993
2014-06-07,641.18,658.1,641.18,651.71,12954147.496912882,0.4682452069299569,0.1478213392511185,498.668
2014-06-11,649.9,649.9,630.04,630.04,20706208.81438605,0.2012660158633312,0.1099288281305053,501.788
2014-06-15,567.18,594.68,567.18,583.41,19377536.876052536,0.0244609117089273,0.275491910800175,508.0885
2014-06-19,592.52,607.16,592.52,593.39,11266428.30113169,-0.0436905721192586,0.3272568667799946,515.404
2014-06-23,590.06,595.04,586.15,586.15,11249420.61918756,-0.1217016048069287,0.2803905720963759,521.822
2014-06-27,582.41,598.24,561.47,598.24,19906418.825948466,-0.0820456951711651,0.4241774984526021,530.731
2014-06-30,594.87,637.75,594.87,637.75,47015974.05882847,0.0122373182655071,0.2261593478428054,536.6125
2014-07-03,643.94,648.11,640.28,640.28,18539083.74715486,0.0974786170960388,0.2766025321503338,543.549
2014-07-07,627.13,631.0,619.5,619.5,18525910.64620546,0.0440014155951398,0.2706910343978832,550.1475
2014-07-11,620.05,630.84,615.13,630.84,15836826.82458833,0.0762432824362364,0.4405370843989771,559.7935
2014-07-15,633.64,633.64,618.21,618.95,10776372.317991683,0.0346182134260497,0.3908988764044945,568.491
2014-07-19,614.15,627.02,614.15,626.18,7640657.031253545,-0.0181419051352411,0.4427113333179733,578.0985
2014-07-23,620.51,620.51,617.94,617.94,9043046.013458896,-0.0348909851939774,0.4066469383109492,587.0305000000001
2014-07-27,599.81,600.1,590.38,590.38,9300140.74662901,-0.047005649717514,0.3532135325937471,594.7355
2014-07-31,585.28,585.28,560.79,583.18,23252091.391060743,-0.0755500602371442,0.3127293190770961,601.682
2014-08-03,593.87,593.87,585.57,585.57,9179432.125804096,-0.0539300428144438,0.3192376146168925,608.767
2014-08-07,586.37,587.2,582.42,587.2,11942668.461052554,-0.0622504711105431,0.1195851128737035,611.903
2014-08-11,590.91,590.91,573.41,573.41,16394404.861505693,-0.0720620124931225,0.0069010325208962,612.0995
2014-08-15,567.4,567.4,492.28,492.28,31123413.36228128,-0.1661641654527592,-0.2066398066075745,605.6885
2014-08-19,521.05,521.05,459.89,484.15,45173284.02810885,-0.169810350149182,-0.2745403599202841,596.5275
2014-08-23,514.19,515.83,496.57,496.57,23986341.558129977,-0.151988660621275,-0.2380506667075846,588.7705
2014-08-27,508.11,510.64,500.39,510.45,21505988.92038193,-0.1307050408719346,-0.1898133451844327,582.791
2014-08-31,506.92,508.1,480.03,480.03,43358429.758384064,-0.162850316527441,-0.1771995680567697,577.622
2014-09-03,475.82,475.82,474.69,474.73,14233663.71176932,-0.0356504428374094,-0.199969665818433,571.689
2014-09-07,489.55,489.55,480.24,480.6,7748654.382831849,-0.007332438293917,-0.1800733600614176,566.4114999999999
2014-09-11,471.13,477.11,471.13,476.38,14579193.13186878,-0.0406589201925207,-0.2036975127039315,560.3185000000001
2014-09-15,473.69,476.0,473.03,473.03,12723496.884358438,-0.0733078656087765,-0.2582830262642102,552.0825
2014-09-19,462.59,462.59,393.26,393.26,47766762.1622319,-0.1807595358623419,-0.385799962516399,539.7315
2014-09-23,408.5,433.75,396.62,433.75,57448184.24661759,-0.086322751880016,-0.2998385794995964,530.444
